Avg Bounding Box Size,Displacement
216,70
250,203
163,97
250,86
123,61
143,179
123,99
199,86
144,65
147,89
105,202
148,84
199,140
185,136
221,130
167,144
102,90
125,87
143,105
227,133
197,149
213,180
134,132
113,200
107,123
196,61
174,102
152,180
219,61
162,174
137,196
204,108
118,174
120,116
206,126
115,78
154,60
179,92
104,204
209,117
240,196
159,93
142,198
156,89
196,182
181,69
140,79
113,184
167,71
138,108
164,87
194,184
235,78
198,110
177,81
211,72
169,84
238,148
109,92
110,148
206,56
226,159
113,165
155,117
102,81
247,173
110,171
200,136
172,205
215,73
153,66
136,75
148,104
128,177
176,61
232,66
151,125
165,197
121,70
227,139
149,169
162,164
170,199
120,199
237,185
242,68
146,87
155,112
220,152
194,176
227,83
203,130
124,162
231,85
148,114
114,155
153,106
142,91
221,121
247,132
