Avg Bounding Box Size,Displacement
130,99
120,144
71,129
111,70
138,82
78,133
133,121
66,111
119,170
85,117
63,168
103,151
93,73
85,75
91,104
138,149
71,113
54,163
81,75
57,151
69,95
148,103
137,122
145,79
79,127
82,154
125,167
146,104
75,87
56,142
104,125
112,121
128,146
69,95
144,126
120,93
81,92
79,125
104,155
82,141
84,109
84,162
59,163
132,79
108,108
85,97
76,170
148,161
109,77
88,71
63,162
103,91
119,100
115,103
64,160
119,146
101,86
144,93
80,105
115,73
95,82
92,75
89,136
96,166
149,152
93,135
116,107
98,149
133,78
140,90
143,158
98,76
69,156
71,78
62,130
89,141
121,127
147,127
106,118
111,80
92,104
122,157
89,79
92,122
146,135
53,130
141,160
108,81
85,162
53,154
120,149
99,92
91,118
67,124
83,125
149,124
122,140
125,156
94,91
112,169
